backtest_date,symbol,entry_date,entry_price,exit_date,exit_price,pct_gain,outcome,hold_days,score,years_window,min_score,take_profit_pct,stop_loss_pct
2026-03-03,PEP,2023-08-21,176.18,2023-10-06,158.78,-9.88,SL,46,3,3,3,0.1500,0.0700
2026-03-03,PEP,2023-10-06,160.0,2025-01-07,146.46,-8.46,SL,459,4,3,3,0.1500,0.0700
2026-03-03,PEP,2025-01-07,145.4,2025-04-28,133.9,-7.91,SL,111,4,3,3,0.1500,0.0700
2026-03-03,PEP,2025-04-28,132.48,2025-10-17,153.77,16.07,TP,172,4,3,3,0.1500,0.0700
2026-03-03,PEP,2026-01-07,136.57,2026-02-04,164.89,20.74,TP,28,3,3,3,0.1500,0.0700
2026-03-03,HSBC,2023-08-16,38.33,2024-05-03,44.67,16.54,TP,261,3,3,3,0.1500,0.0700
2026-03-03,HSBC,2024-08-05,40.03,2024-10-30,46.29,15.64,TP,86,3,3,3,0.1500,0.0700
2026-03-03,HSBC,2025-04-04,47.77,2025-04-24,55.02,15.18,TP,20,3,3,3,0.1500,0.0700
2026-03-03,TMUS,2025-01-06,211.38,2025-02-07,247.5,17.09,TP,32,3,3,3,0.1500,0.0700
2026-03-03,TMUS,2025-04-25,231.69,2025-10-30,215.22,-7.11,SL,188,3,3,3,0.1500,0.0700
2026-03-03,TMUS,2025-10-30,209.29,2026-01-14,189.15,-9.62,SL,76,4,3,3,0.1500,0.0700
2026-03-03,TMUS,2026-01-16,185.36,2026-02-13,216.27,16.68,TP,28,4,3,3,0.1500,0.0700
2026-03-03,MA,2023-10-26,366.49,2023-12-14,425.01,15.97,TP,49,3,3,3,0.1500,0.0700
2026-03-03,MA,2025-03-11,530.95,2025-04-07,477.43,-10.08,SL,27,3,3,3,0.1500,0.0700
2026-03-03,MA,2025-04-07,500.99,2025-05-13,580.0,15.77,TP,36,3,3,3,0.1500,0.0700
2026-03-03,MA,2025-06-18,536.935,2026-02-24,493.74,-8.04,SL,251,3,3,3,0.1500,0.0700
2026-03-03,MA,2026-02-24,502.81,2026-03-02,521.0,3.62,OPEN,6,4,3,3,0.1500,0.0700
2026-03-03,HD,2023-09-21,306.16,2023-10-25,281.75,-7.97,SL,34,3,3,3,0.1500,0.0700
2026-03-03,HD,2023-10-25,280.53,2023-12-05,322.0,14.78,TP,41,3,3,3,0.1500,0.0700
2026-03-03,HD,2024-04-10,351.04,2024-05-28,325.39,-7.31,SL,48,3,3,3,0.1500,0.0700
2026-03-03,HD,2024-12-19,383.81,2025-03-14,350.455,-8.69,SL,85,3,3,3,0.1500,0.0700
