date,time,symbol,dip_score,is_dip,fund_pass,price,ma50,ma200,rsi,week52_pct,fcf_usd,fcf_yield_pct,profit_margin_pct,debt_to_equity,roe_pct,pe,price_source,fail_reasons
2026-03-09,11:24:35,IBM,1,False,False,252.63,254.44,289.95,44.3,38,12686000000,5.36,12.13,4.02,27.5,31.6,IBKR,D/E=4.02 > MAX=3.0 (non-financial); FCF grew in fewer than 2 of last 3 year(s)
2026-03-09,11:24:35,AXP,3,True,True,295.52,329.00,355.74,27.9,43,16996000000,8.19,22.50,9.76,33.9,24.8,IBKR,
2026-03-09,11:24:35,V,2,False,True,310.24,318.65,333.41,37.8,7,20659000000,,52.90,2.21,69.1,,IBKR,
2026-03-09,11:24:35,JNJ,0,False,False,242.10,243.13,211.89,56.9,94,18248000000,,41.28,1.41,45.8,,IBKR,FCF grew in fewer than 2 of last 3 year(s)
2026-03-09,11:24:35,GE,1,False,False,312.13,329.65,309.36,41.0,82,3610000000,1.08,134.61,5.35,49.0,35.3,IBKR,D/E=5.35 > MAX=3.0 (non-financial); FCF yield=1.08% < MIN=1.50%; FCF grew in fewer than 2 of last 3 year(s)
2026-03-09,11:24:35,PEP,0,False,False,160.72,164.32,149.54,49.9,82,7924000000,,9.92,4.51,50.3,,IBKR,D/E=4.51 > MAX=3.0 (non-financial)
2026-03-09,11:24:35,HSBC,1,False,True,83.52,88.20,78.14,41.8,78,,,,,,,IBKR,
2026-03-09,11:24:35,TMUS,0,False,False,219.66,214.90,205.30,61.9,45,8758000000,3.48,10.59,0.09,11.9,30.2,IBKR,Capex/FCF=111.91% > MAX=75.00%
2026-03-09,11:24:35,MA,1,False,False,509.36,520.78,547.11,40.2,27,11609000000,,7.63,6.41,29.4,,IBKR,D/E=6.41 > MAX=3.0 (non-financial)
2026-03-09,11:24:35,HD,4,True,False,349.31,376.93,367.54,31.6,22,11496000000,3.24,10.87,48.33,1095.1,20.7,IBKR,D/E=48.33 > MAX=3.0 (non-financial); FCF grew in fewer than 2 of last 3 year(s)
2026-03-09,11:24:35,NVS,0,False,True,160.80,163.43,141.21,52.5,88,,,,,,,IBKR,
